event_id,is_attack,scenario_id
E000001,0,
E000002,0,
E000003,0,
E000004,0,
E000005,0,
E000006,0,
E000007,0,
E000008,0,
E000009,0,
E000010,0,
E000011,0,
E000012,0,
E000013,0,
E000014,0,
E000015,0,
E000016,0,
E000017,0,
E000018,0,
E000019,0,
E000020,0,
E000021,0,
E000022,0,
E000023,0,
E000024,0,
E000025,0,
E000026,0,
E000027,0,
E000028,0,
E000029,0,
E000030,0,
E000031,0,
E000032,0,
E000033,0,
E000034,0,
E000035,0,
E000036,0,
E000037,0,
E000038,0,
E000039,0,
E000040,0,
E000041,0,
E000042,0,
E000043,0,
E000044,0,
E000045,0,
E000046,0,
E000047,0,
E000048,0,
E000049,0,
E000050,0,
E000051,0,
E000052,0,
E000053,0,
E000054,0,
E000055,0,
E000056,0,
E000057,0,
E000058,0,
E000059,0,
E000060,0,
E000061,0,
E000062,0,
E000063,0,
E000064,0,
E000065,0,
E000066,0,
E000067,0,
E000068,0,
E000069,0,
E000070,0,
E000071,0,
E000072,0,
E000073,0,
E000074,0,
E000075,0,
E000076,0,
E000077,0,
E000078,0,
E000079,0,
E000080,0,
E000081,0,
E000082,0,
E000083,0,
E000084,0,
E000085,0,
E000086,0,
E000087,0,
E000088,0,
E000089,0,
E000090,0,
E000091,0,
E000092,0,
E000093,0,
E000094,0,
E000095,0,
E000096,0,
E000097,0,
E000098,0,
E000099,0,
E000100,0,
E000101,0,
E000102,0,
E000103,0,
E000104,0,
E000105,0,
E000106,0,
E000107,0,
E000108,0,
E000109,0,
E000110,0,
E000111,0,
E000112,0,
E000113,0,
E000114,0,
E000115,0,
E000116,0,
E000117,0,
E000118,0,
E000119,0,
E000120,0,
E000121,0,
E000122,0,
E000123,0,
E000124,0,
E000125,0,
E000126,0,
E000127,0,
E000128,0,
E000129,0,
E000130,0,
E000131,0,
E000132,0,
E000133,0,
E000134,0,
E000135,0,
E000136,0,
E000137,0,
E000138,0,
E000139,0,
E000140,0,
E000141,0,
E000142,0,
E000143,0,
E000144,0,
E000145,0,
E000146,0,
E000147,0,
E000148,0,
E000149,0,
E000150,0,
E000151,0,
E000152,0,
E000153,0,
E000154,0,
E000155,0,
E000156,0,
E000157,0,
E000158,0,
E000159,0,
E000160,0,
E000161,0,
E000162,0,
E000163,0,
E000164,0,
E000165,0,
E000166,0,
E000167,0,
E000168,0,
E000169,0,
E000170,0,
E000171,0,
E000172,0,
E000173,0,
E000174,0,
E000175,0,
E000176,0,
E000177,0,
E000178,0,
E000179,0,
E000180,0,
E000181,0,
E000182,0,
E000183,0,
E000184,0,
E000185,0,
E000186,0,
E000187,0,
E000188,0,
E000189,0,
E000190,0,
E000191,0,
E000192,0,
E000193,0,
E000194,0,
E000195,0,
E000196,0,
E000197,0,
E000198,0,
E000199,0,
E000200,0,
E000201,0,
E000202,0,
E000203,0,
E000204,0,
E000205,0,
E000206,0,
E000207,0,
E000208,0,
E000209,0,
E000210,0,
E000211,0,
E000212,0,
E000213,0,
E000214,0,
E000215,0,
E000216,0,
E000217,0,
E000218,0,
E000219,0,
E000220,0,
E000221,0,
E000222,0,
E000223,0,
E000224,0,
E000225,0,
E000226,0,
E000227,0,
E000228,0,
E000229,0,
E000230,0,
E000231,0,
E000232,0,
E000233,0,
E000234,0,
E000235,0,
E000236,0,
E000237,0,
E000238,0,
E000239,0,
E000240,0,
E000241,0,
E000242,0,
E000243,0,
E000244,0,
E000245,0,
E000246,0,
E000247,0,
E000248,0,
E000249,0,
E000250,0,
E000251,0,
E000252,0,
E000253,0,
E000254,0,
E000255,0,
E000256,0,
E000257,0,
E000258,0,
E000259,0,
E000260,0,
E000261,0,
E000262,0,
E000263,0,
E000264,0,
E000265,0,
E000266,0,
E000267,0,
E000268,0,
E000269,0,
E000270,0,
E000271,0,
E000272,0,
E000273,0,
E000274,0,
E000275,0,
E000276,0,
E000277,0,
E000278,0,
E000279,0,
E000280,0,
E000281,0,
E000282,0,
E000283,0,
E000284,0,
E000285,0,
E000286,0,
E000287,0,
E000288,0,
E000289,0,
E000290,0,
E000291,0,
E000292,0,
E000293,0,
E000294,0,
E000295,0,
E000296,0,
E000297,0,
E000298,0,
E000299,0,
E000300,0,
E000301,0,
E000302,0,
E000303,0,
E000304,0,
E000305,0,
E000306,0,
E000307,0,
E000308,0,
E000309,0,
E000310,0,
E000311,0,
E000312,0,
E000313,0,
E000314,0,
E000315,0,
E000316,0,
E000317,0,
E000318,0,
E000319,0,
E000320,0,
E000321,0,
E000322,0,
E000323,0,
E000324,0,
E000325,0,
E000326,0,
E000327,0,
E000328,0,
E000329,0,
E000330,0,
E000331,0,
E000332,0,
E000333,0,
E000334,0,
E000335,0,
E000336,0,
E000337,0,
E000338,0,
E000339,0,
E000340,0,
E000341,0,
E000342,0,
E000343,0,
E000344,0,
E000345,0,
E000346,0,
E000347,0,
E000348,0,
E000349,0,
E000350,0,
E000351,0,
E000352,0,
E000353,0,
E000354,0,
E000355,0,
E000356,0,
E000357,0,
E000358,0,
E000359,0,
E000360,0,
E000361,0,
E000362,0,
E000363,0,
E000364,0,
E000365,0,
E000366,0,
E000367,0,
E000368,0,
E000369,0,
E000370,0,
E000371,0,
E000372,0,
E000373,0,
E000374,0,
E000375,0,
E000376,0,
E000377,0,
E000378,0,
E000379,0,
E000380,0,
E000381,0,
E000382,0,
E000383,0,
E000384,0,
E000385,0,
E000386,0,
E000387,0,
E000388,0,
E000389,0,
E000390,0,
E000391,0,
E000392,0,
E000393,0,
E000394,0,
E000395,0,
E000396,0,
E000397,0,
E000398,0,
E000399,0,
E000400,0,
E000401,0,
E000402,0,
E000403,0,
E000404,0,
E000405,0,
E000406,0,
E000407,0,
E000408,0,
E000409,0,
E000410,0,
E000411,0,
E000412,0,
E000413,0,
E000414,0,
E000415,0,
E000416,0,
E000417,0,
E000418,0,
E000419,0,
E000420,0,
E000421,0,
E000422,0,
E000423,0,
E000424,0,
E000425,0,
E000426,0,
E000427,0,
E000428,0,
E000429,0,
E000430,0,
E000431,0,
E000432,0,
E000433,0,
E000434,0,
E000435,0,
E000436,0,
E000437,0,
E000438,0,
E000439,0,
E000440,0,
E000441,0,
E000442,0,
E000443,0,
E000444,0,
E000445,0,
E000446,0,
E000447,0,
E000448,0,
E000449,0,
E000450,0,
E000451,0,
E000452,0,
E000453,0,
E000454,0,
E000455,0,
E000456,0,
E000457,0,
E000458,0,
E000459,0,
E000460,0,
E000461,0,
E000462,0,
E000463,0,
E000464,0,
E000465,0,
E000466,0,
E000467,0,
E000468,0,
E000469,0,
E000470,0,
E000471,0,
E000472,0,
E000473,0,
E000474,0,
E000475,0,
E000476,0,
E000477,0,
E000478,0,
E000479,0,
E000480,0,
E000481,0,
E000482,0,
E000483,0,
E000484,0,
E000485,0,
E000486,0,
E000487,0,
E000488,0,
E000489,0,
E000490,0,
E000491,0,
E000492,0,
E000493,0,
E000494,0,
E000495,0,
E000496,0,
E000497,0,
E000498,0,
E000499,0,
E000500,0,
E000501,0,
E000502,0,
E000503,0,
E000504,0,
E000505,0,
E000506,0,
E000507,0,
E000508,0,
E000509,0,
E000510,0,
E000511,0,
E000512,0,
E000513,0,
E000514,0,
E000515,0,
E000516,0,
E000517,0,
E000518,0,
E000519,0,
E000520,0,
E000521,0,
E000522,0,
E000523,0,
E000524,0,
E000525,0,
E000526,0,
E000527,0,
E000528,0,
E000529,0,
E000530,0,
E000531,0,
E000532,0,
E000533,0,
E000534,0,
E000535,0,
E000536,0,
E000537,0,
E000538,0,
E000539,0,
E000540,0,
E000541,0,
E000542,0,
E000543,0,
E000544,0,
E000545,0,
E000546,0,
E000547,0,
E000548,0,
E000549,0,
E000550,0,
E000551,0,
E000552,0,
E000553,0,
E000554,0,
E000555,0,
E000556,0,
E000557,0,
E000558,0,
E000559,0,
E000560,0,
E000561,0,
E000562,0,
E000563,0,
E000564,0,
E000565,0,
E000566,0,
E000567,0,
E000568,0,
E000569,0,
E000570,0,
E000571,0,
E000572,0,
E000573,0,
E000574,0,
E000575,0,
E000576,0,
E000577,0,
E000578,0,
E000579,0,
E000580,0,
E000581,0,
E000582,0,
E000583,0,
E000584,0,
E000585,1,SCEN_ATTACK_01
E000586,1,SCEN_ATTACK_01
E000587,0,
E000588,1,SCEN_ATTACK_01
E000589,0,
E000590,1,SCEN_ATTACK_01
E000591,1,SCEN_ATTACK_01
E000592,0,
E000593,0,
E000594,0,
E000595,0,
E000596,0,
E000597,0,
E000598,0,
E000599,0,
E000600,0,
E000601,0,
E000602,0,
E000603,0,
E000604,0,
E000605,0,
E000606,0,
E000607,0,
E000608,0,
E000609,0,
E000610,0,
E000611,0,
E000612,0,
E000613,0,
E000614,0,
E000615,0,
E000616,0,
E000617,0,
E000618,0,
E000619,0,
E000620,0,
E000621,0,
E000622,0,
E000623,0,
E000624,0,
E000625,0,
E000626,0,
E000627,0,
E000628,0,
E000629,0,
E000630,0,
E000631,0,
E000632,0,
E000633,0,
E000634,0,
E000635,0,
E000636,0,
E000637,0,
E000638,0,
E000639,0,
E000640,0,
E000641,0,
E000642,0,
E000643,0,
E000644,0,
E000645,0,
E000646,0,
E000647,0,
E000648,0,
E000649,0,
E000650,0,
E000651,0,
E000652,0,
E000653,0,
E000654,0,
E000655,0,
E000656,0,
E000657,0,
E000658,0,
E000659,0,
E000660,0,
E000661,0,
E000662,0,
E000663,1,SCEN_SUPPRESSED_01
E000664,1,SCEN_SUPPRESSED_01
E000665,0,
E000666,1,SCEN_SUPPRESSED_01
E000667,1,SCEN_SUPPRESSED_01
E000668,0,
E000669,1,SCEN_SUPPRESSED_01
E000670,0,
E000671,0,
E000672,0,
E000673,0,
E000674,0,
E000675,0,
E000676,0,
E000677,0,
E000678,0,
E000679,0,
E000680,0,
E000681,0,
E000682,0,
E000683,0,
E000684,0,
E000685,0,
E000686,0,
E000687,0,
E000688,0,
E000689,0,
E000690,0,
E000691,0,
E000692,0,
E000693,0,
E000694,0,
E000695,0,
E000696,0,
E000697,0,
E000698,0,
E000699,0,
E000700,0,
E000701,0,
E000702,0,
E000703,0,
E000704,0,
E000705,0,
E000706,0,
E000707,0,
E000708,0,
E000709,0,
E000710,0,
E000711,0,
E000712,0,
E000713,0,
E000714,0,
E000715,0,
E000716,0,
E000717,0,
E000718,0,
E000719,0,
E000720,0,
E000721,0,
E000722,0,
E000723,0,
E000724,0,
E000725,0,
E000726,0,
E000727,0,
E000728,0,
E000729,0,
E000730,0,
E000731,0,
E000732,0,
E000733,0,
E000734,0,
E000735,0,
E000736,0,
