user_id,role,actor_type,peer_group_id,typical_login_hour,login_hour_spread,avg_session_minutes,session_spread,avg_txn_amount,txn_amount_spread,avg_txn_per_day,home_device
U001,admin,employee,PG1,8.062526888056667,0.6925205228583835,35.624751670417595,12.364712141640124,338.34974371145563,362.26284869669587,0.26081649788824846,DEV-028
U002,admin,employee,PG2,8.074493048595176,0.6530465823625223,55.374870167235365,5.265359696838637,99.41882534332424,277.4595532228331,1.63482444180965,DEV-015
U003,admin,service_account,PG3,14.0,0.5,39.47334957614639,13.69300320792934,379.40368356488364,105.88076073191155,1.2678431944605077,DEV-018
U004,finance_officer,employee,PG4,8.538284405268971,1.0344458903045668,27.15471935638941,8.799273006373374,1205.1422653569596,170.38450286763987,0.7935626016660392,DEV-003
U005,analyst,service_account,PG1,14.0,0.5,28.737831399724655,14.222953720281598,39.40009903922908,152.6123984924825,1.8859193984833302,DEV-024
U006,manager,automated_system,PG2,2.0,0.5,69.32002853504464,5.458243836556623,113.94913782577343,151.2857872607375,0.23937593077088248,DEV-015
U007,admin,employee,PG3,8.950315562597915,0.8173872116579048,78.38772986485253,6.626540971560848,177.63535011376075,284.56131103219263,2.105460940375654,DEV-005
U008,finance_officer,automated_system,PG4,14.0,0.5,31.97970537386679,12.291267979503491,657.5269825333995,182.80940461517673,2.9685700519097855,DEV-036
U009,analyst,employee,PG1,9.711535627474687,1.0899963441328668,74.31999380823714,7.290480719641044,16.05012195201888,160.4085668206787,0.8032226279271082,DEV-014
U010,manager,automated_system,PG2,14.0,0.5,42.02745165589346,11.5543866529488,197.81595053033212,370.09165640919025,1.3765555577621964,DEV-017
U011,admin,employee,PG3,8.61656876923496,0.8929576939142055,38.391912596605465,10.845859902235405,448.9114418012385,189.79017679913903,0.65796227747185,DEV-009
U012,finance_officer,automated_system,PG4,3.0,0.5,26.36365885216557,5.471163754247346,507.0175649818456,269.6061145960815,2.3762380930888924,DEV-028
U013,analyst,automated_system,PG1,2.0,0.5,46.933711817215006,10.958884283611281,234.02494389233863,137.9949419936346,1.6596776886458624,DEV-001
U014,manager,employee,PG2,9.704275922566437,0.8758792312861565,38.677763296677995,11.40961798579808,55.77608679793822,202.16783773418675,1.3611711189876194,DEV-017
U015,admin,automated_system,PG3,2.0,0.5,55.53771722230277,6.06410822797705,312.65009678320877,344.58427186036346,1.5229886459329025,DEV-013
U016,finance_officer,employee,PG4,8.93478463147787,0.6130843250272073,86.74498233574519,14.224340806182747,2771.7817843079665,259.6306045610802,1.4658171240868436,DEV-008
U017,analyst,employee,PG1,10.196804694557962,1.0821658705528256,41.5259887781863,5.579251664941875,439.0047996020203,381.4323058542979,0.25696035620363633,DEV-032
U018,manager,employee,PG2,10.444961234193336,0.8728943186706609,28.80323580643089,11.597508227473675,473.42433985249545,107.79443564094467,1.583021362254762,DEV-039
U019,admin,service_account,PG3,2.0,0.5,85.02394451015238,12.552651966358056,344.93381604981073,299.53214048669264,1.1969768999922874,DEV-024
U020,finance_officer,service_account,PG4,14.0,0.5,51.60402989737908,7.47905613666008,379.27250971376577,57.36199100247061,1.6617645672734394,DEV-038
