user_id,role,actor_type,peer_group_id,typical_login_hour,login_hour_spread,avg_session_minutes,avg_txn_amount,txn_amount_spread,transaction_limit,home_device
U001,analyst,employee,PG1,9.59856699614471,0.5175075286558668,31.001172734764772,166.96322144464682,118.37654569968149,800.0,DEV-018
U002,manager,employee,PG2,8.217347081573541,0.7953452737796893,21.191888777522813,242.1146836223422,90.6426345724035,1500.0,DEV-001
U003,admin,employee,PG3,9.403112657346533,1.0012137290456824,48.05299894360944,687.3277493463222,83.90508555406242,3000.0,DEV-009
U004,finance_officer,employee,PG4,10.023576141694566,0.5045491317746427,52.23277007331232,1775.5345479717444,70.83006198215902,5000.0,DEV-005
U005,analyst,employee,PG5,8.538284405268971,1.0344458903045668,24.08841106079395,213.9781901912012,73.07752565815541,800.0,DEV-012
U006,manager,employee,PG6,9.509315078417227,1.064989791292066,49.18927146775272,448.54825944555546,146.7738916775245,1500.0,DEV-013
U007,admin,employee,PG1,8.197000495196145,0.705224796984965,45.145591979777734,1339.6324471115295,73.39620314003719,3000.0,DEV-007
U008,finance_officer,employee,PG2,9.76142959053731,0.5320770685589635,29.115931026061872,794.5311126450572,39.5750372308353,5000.0,DEV-008
U009,analyst,employee,PG3,10.166209166888175,0.7660883575274162,38.13641209473742,350.2331279922251,49.51849165873018,800.0,DEV-012
U010,manager,employee,PG4,8.52376757692872,0.6868844754343794,57.46618350849976,521.2230004102857,103.09572068003858,1500.0,DEV-006
U011,admin,employee,PG5,9.33534969257427,0.6713676476059983,38.49040847404463,477.9269574979892,141.04694155454612,3000.0,DEV-018
U012,finance_officer,employee,PG6,8.549037934925673,0.7269979140907252,50.73254310369489,234.25107411828145,128.616311280817,5000.0,DEV-011
U013,analyst,employee,PG1,9.002911967555821,0.5463320236480831,56.5254449674218,270.1540154435507,116.14971248627711,800.0,DEV-007
U014,manager,employee,PG2,9.6385966632372,0.776942330742465,56.58190358962174,398.2537041818092,61.785619979766295,1500.0,DEV-008
U015,admin,employee,PG3,9.862472455229016,0.8772841027671032,49.880552466090315,699.8073582124116,100.02395099347875,3000.0,DEV-012
U016,finance_officer,employee,PG4,8.548301897893209,1.198276324546577,40.38105174705858,318.1825892171054,35.65396505096815,5000.0,DEV-004
U017,analyst,employee,PG5,8.382103298370653,0.6119874012057152,47.21924853985308,278.92270921959215,76.17207740094001,800.0,DEV-015
U018,manager,employee,PG6,9.322785862747843,1.1797548643295328,54.43118808937992,107.46266426283276,116.48661832322335,1500.0,DEV-018
U019,admin,employee,PG1,9.877194498979025,1.038019112860212,33.60701892124181,510.9001801063966,48.97893052136037,3000.0,DEV-001
U020,finance_officer,employee,PG2,10.3845398188027,1.113097058264736,30.53556203004363,1301.406671320716,51.43822566361577,5000.0,DEV-004
U021,analyst,employee,PG3,10.176296424591918,0.708911354014043,45.557979794640204,282.69106343145165,48.34071222595618,800.0,DEV-006
U022,manager,employee,PG4,9.348447575299064,1.0450385350413907,41.214146887807104,100.37173248316329,68.89872684056077,1500.0,DEV-001
U023,admin,employee,PG5,8.279669313302238,0.7540865370266534,59.41285515775249,1229.4847267159803,58.73427724056705,3000.0,DEV-008
U024,finance_officer,service_account,PG6,14.0,0.5,57.87797781191976,305.56828496290905,88.31885559799366,5000.0,DEV-003
U025,analyst,automated_system,PG1,14.0,0.5,50.63337717227951,138.51743934992885,87.03388537184776,800.0,DEV-018
